iter	Passed	Remaining
0	37	5561
1	80	5962
2	118	5820
3	158	5793
4	170	4930
5	181	4353
6	227	4648
7	269	4789
8	340	5331
9	364	5098
10	392	4965
11	436	5019
12	478	5037
13	512	4980
14	524	4716
15	565	4736
16	606	4744
17	627	4602
18	648	4470
19	687	4468
20	702	4313
21	745	4340
22	786	4344
23	828	4349
24	871	4355
25	911	4344
26	928	4227
27	971	4231
28	1012	4223
29	1051	4207
30	1067	4099
31	1112	4100
32	1153	4088
33	1191	4065
34	1231	4045
35	1283	4063
36	1321	4036
37	1363	4018
38	1404	3997
39	1446	3979
40	1489	3960
41	1555	3999
42	1602	3987
43	1642	3957
44	1684	3931
45	1723	3897
46	1766	3870
47	1817	3862
48	1859	3832
49	1914	3828
50	1957	3800
51	1998	3766
52	2042	3738
53	2082	3702
54	2127	3674
55	2167	3638
56	2212	3609
57	2263	3590
58	2318	3576
59	2360	3540
60	2405	3509
61	2456	3487
62	2501	3454
63	2558	3438
64	2619	3425
65	2676	3406
66	2724	3375
67	2767	3337
68	2814	3304
69	2865	3274
70	2909	3237
71	2955	3201
72	2999	3163
73	3071	3154
74	3118	3118
75	3160	3077
76	3205	3039
77	3258	3008
78	3303	2968
79	3348	2929
80	3391	2888
81	3437	2850
82	3485	2813
83	3530	2774
84	3575	2734
85	3619	2693
86	3662	2652
87	3702	2608
88	3742	2565
89	3780	2520
90	3817	2475
91	3856	2431
92	3896	2388
93	3933	2343
94	3972	2299
95	4011	2256
96	4049	2212
97	4092	2171
98	4130	2127
99	4170	2085
100	4211	2043
101	4251	2000
102	4290	1957
103	4328	1914
104	4367	1871
105	4404	1828
106	4443	1785
107	4481	1742
108	4542	1708
109	4580	1665
110	4618	1622
111	4657	1580
112	4703	1539
113	4745	1498
114	4787	1456
115	4830	1415
116	4871	1374
117	4912	1332
118	4959	1291
119	5024	1256
120	5081	1217
121	5137	1179
122	5206	1142
123	5256	1102
124	5304	1060
125	5347	1018
126	5393	976
127	5445	936
128	5487	893
129	5529	850
130	5572	808
131	5624	767
132	5666	724
133	5713	682
134	5758	639
135	5798	596
136	5839	554
137	5880	511
138	5923	468
139	5963	425
140	6002	383
141	6043	340
142	6082	297
143	6135	255
144	6182	213
145	6225	170
146	6277	128
147	6323	85
148	6364	42
149	6407	0
